,index,0
0,USA,127431
1,Wales,128
2,Australia,1823
3,Canada,4664
4,Ireland,196
5,,1434
6,England,2140
7,Belgium,359
8,Portugal,6
9,Italy,88
10,France,484
11,Romania,13
12,Scotland,578
13,Germany,517
14,Northern Ireland,60
15,New Zealand,382
16,Ukraine,5
17,Malaysia,8
18,Eritrea,1
19,Luxembourg,17
20,Switzerland,33
21,Finland,75
22,Tunisia,7
23,Singapore,12
24,Netherlands,97
25,Mexico,22
26,Norway,56
27,Philippines,187
28,Estonia,26
29,Slovenia,34
30,Poland,47
31,Tajikistan,1
32,Caribbean Netherlands,1
33,Cape Verde,6
34,Croatia,13
35,Austria,57
36,Sweden,55
37,Lithuania,10
38,Uruguay,8
39,Thailand,13
40,Japan,11
41,U.S. Virgin Islands,5
42,Papua New Guinea,5
43,South Africa,64
44,Greece,11
45,Czech Republic,18
46,Brazil,7
47,Armenia,1
48,Belize,5
49,Iraq,5
50,India,8
51,Chile,3
52,Malta,16
53,Egypt,4
54,Spain,13
55,Iceland,3
56,Israel,2
57,Denmark,16
58,Guam,22
59,Latvia,4
60,Grenada,3
61,Costa Rica,8
62,Hong Kong,8
63,Panama,3
64,Zimbabwe,2
65,Pakistan,1
66,Hungary,9
67,Gibraltar,4
68,Isle of Man,6
69,Russia,6
70,Turkey,14
71,Cayman Islands,3
72,Trinidad And Tobago,1
73,Slovakia,12
74,Dominica,1
75,Bahamas,8
76,Jamaica,7
77,Kosovo,1
78,Lebanon,1
79,Anguilla,1
80,Bailiwick of Jersey,4
81,New Caledonia,1
82,Tanzania,2
83,Martinique,1
84,Bermuda,3
85,Antigua And Barbuda,1
86,Argentina,3
87,Kenya,1
88,Oman,2
89,Seychelles,1
90,Saint Lucia,2
91,Sint Maarten,2
92,Namibia,2
93,Myanmar,1
94,Samoa,1
95,Cuba,2
96,Madagascar,1
97,Peru,1
98,China,1
99,Northern Mariana Islands,2
100,Macau,1
101,Sri Lanka,3
102,Norfolk Island,1
103,Vatican City,1
104,Paraguay,1
105,Kuwait,1
106,Libya,1
